답변,지능
나는 연산하는게 좋아,수리
연산이 뭔지 배우는게 좋아,수리
나는 더하기 하는게 좋아,수리
나는 빼기 하는게 좋아,수리
나는 곱하기 하는게 좋아,수리
덧셈이랑 뺄셈 하는게 좋아,수리
곱하기랑 나누기 하는게 좋아,수리
"더하기, 빼기, 나누기, 곱하기하는게 좋아",수리
나는 나누기 하는게 좋아,수리
나는 도형가지고 노는게 좋아,수리
"나는 동그라미, 네모, 세모, 별 모양을 가지고 노는게 좋아",수리
나는 모양 나누기 하는게 좋아,수리
모양 맞추기 하는게 좋아,수리
패턴 구분해서 맞추는게 좋아,수리
"나는 동그라미, 네모, 세모, 별이 어떤건지 알고 비교하는게 좋아",수리
색깔 이름이랑 맞추기 하는게 좋아,수리
색깔 이름이 뭔지 알고 맞추기 놀이하는게 좋아,수리
어떤게 큰지 구분하는게 좋아,수리
둘 중 어느게 더 큰지 맞추는게 좋아,수리
퍼즐 맞누는게 좋아,수리
규칙을 찾는게 좋아,수리
원의 넓이를 구하는게 좋아,수리
"원, 삼각형, 사각형을 구분하는게 좋아",수리
사물의 길이를 비교하는게 좋아,수리
어떤게 더 길고 짧은지 비교하는게 좋아,수리
촉감으로 느낌 찾는게 좋아,수리
손의 느낌으로 뭔지 찾는게 좋아,수리
촉감으로 무슨 모양인지 맞추는게 좋아,수리
손가락으로 어떤 모양인지 맞추는게 좋아,수리
숫자 이름과 양 맞추는게 좋아,수리
숫자 이름이 뭔지와 양이 얼만큼 되는지 구하는게 좋아,수리
"동, 서, 남, 북을 구분하는게 좋아",수리
어느 방향에 뭐가 있는지 아는게 좋아,수리
위치를 기억해서 맞추는게 좋아,수리
여러 도형을 조합해서 다른 도형을 만들 수 있는게 좋아,수리
여러 모형을 합쳐서 다른 모양을 만드는게 좋아,수리
직선과 곡선이 어떻게 이루어졌는지 아는게 좋아,수리
어떤게 똑바른 선이고 휘어진 선인지 구분하는게 좋아,수리
숫자를 일부터 십까지 세는게 좋아,수리
나는 숫자를 일부터 열까지 셀 수 있는게 좋아,수리
나는 숫자를 세는게 좋아,수리
면적을 구하는게 좋아,수리
얼마나 넓은지 구하는게 좋아,수리
나는 얼마나 멀리 떨어져 있는지 구하는게 좋아,수리
앞에 뭐가 있는지와 뒤에 뭐가 있는지 구하는게 좋아,수리
앞과 뒤를 구분해서 아는게 좋아,수리
교집합이 뭔지 배우는게 좋아,수리
여러 모양이 어떤게 비슷한지 아는게 좋아,수리
어떤 패턴으로 이루어져 있는지 분류하는게 좋아,수리
어떤 모양으로 되어있어서 어디랑 비슷한지 아는게 좋아,수리
여러 방향과 위치를 알 수 있는게 좋아,수리
얼마나 좁은지 구할 수 있는게 좋아,수리
같은 색깔과 모양이 같은 물건끼리 나누는게 좋아,수리
어떤 물건의 모양이 같은지 보는게 좋아,수리
"동그라미, 세모, 네모가 어떤 특징이 있고 모양인지 배우는게 좋아",수리
시간이 몇시인지 배우는게 좋아,수리
지금 시간이 몇시인지 배우는게 좋아,수리
시계에 대해서 배우는게 좋아,수리
"위, 아래, 앞, 뒤, 오른쪽, 왼쪽에 뭐가 있는지 배우는게 좋아",수리
물건이 어떤 색깔인지 맞추는게 좋아,수리
나는 숫자를 엄청 잘 셀 수 있는게 좋아,수리
오늘 무슨 요일인지 날짜가 뭔지 배우는게 좋아,수리
요일과 날짜가 뭔지 배우는게 좋아,수리
더하고 빼는게 뭔지 아는게 좋아,수리
어떤게 많고 적은지 배우는게 좋아,수리
안에는 뭐가 있고 밖에는 뭐가 있는지 구분할 줄 아는게 좋아,수리
숫자를 세는걸 하는게 좋아,수리
이게 얼마나 길고 짧은지 구분하는게 좋아,수리
얼마나 길고 짧으기 비교하는게 좋아,수리
계산을 어떻게 하는지 아는게 좋아,수리
계산하는 방법을 배우는게 좋아,수리
큰 수랑 작은 수랑 더하고 빼는게 좋아,수리
얼마나 무거운지 아는게 좋아,수리
