답변,지능
노래 들으면서 춤추는게 좋아,음악
노래 부르면서 있는게 좋아,음악
무슨 노래인지 맞추기하는게 좋아,음악
노래가 뭔지 알아 맞추기하는게 좋아,음악
무슨 소리인지 알아맞히기 놀이하는게 좋아,음악
북치고 난타하면서 소리내면서 노는게 좋아,음악
손으로 소리 내면서 음악 들으면서 노는게 좋아,음악
음악 소리가 어떻게 나는지 배우는게 좋아,음악
노래 들으면서 음악 들으면서 노는게 좋아,음악
목소리로 노래 따라 부르면서 있는게 좋아,음악
음악 들으면서 춤추는게 좋아,음악
손뼉 치면서 노래 부르기하는게 좋아,음악
새로운 노래 배우는게 좋아,음악
동요의 제목을 맞히게 하는게 좋아,음악
우리 주변에서 어떤 소리가 나는지 듣는게 좋아,음악
어떤 소리가 나는지 생각하면서 흉내내는게 좋아,음악
동물이 무슨 소리를 내는지 흉내내는게 좋아,음악
동물 울음 소리가 어떤지 흉내내는지 맞추는게 좋아,음악
동물이 어떻게 우는지 따라하는게 좋아,음악
음악을 감상하는게 좋아,음악
음악을 작곡하고 연주하는게 좋아,음악
노래 부르는게 좋아,음악
곰 세 마리 노래를 부르는게 좋아,음악
악어떼 노래를 부르는게 좋아,음악
그대로 멈춰라 노래를 부르는게 좋아,음악
머리 어깨 무릅 발 노래를 부르는게 좋아,음악
비행기 노래를 부르는게 좋아,음악
핑크 퐁 노래를 부르는게 좋아,음악
둥글게 둥글게 노래를 부르는게 좋아,음악
당근 송 노래를 부르는게 좋아,음악
숫자 송 노래를 부르는게 좋아,음악
뽀뽀뽀 노래를 부르는게 좋아,음악
신데렐라 노래를 부르는게 좋아,음악
신나게 노래를 부르는게 좋아,음악
기분 좋을 때 노래를 흥어거리는게 좋아,음악
"엄마, 앞에 앞에서 노래를 부르는게 좋아",음악
친구들과 합창을 하는게 좋아,음악
다 같이 노래 부르는게 좋아,음악
선생님을 따라 노래를 배워보는게 좋아,음악
피아노 반주에 맞춰 노래를 부르는게 좋아,음악
마이크를 들고 노래를 부르는게 좋아,음악
새처럼 노래를 불러보는게 좋아,음악
칭찬 받으면 노래하고 하는게 좋아,음악
동생에게 노래를 가르쳐 주는게 좋아,음악
TV에서 가수를 따라 노래를 부르는게 좋아,음악
노래를 불러서 화를 안내게 하는게 좋아,음악
아기에게 자장가를 불러주는게 좋아,음악
가수처럼 노래를 잘 부르고싶은게 좋아,음악
음악 시간에 공부하는게 좋아,음악
발을 구르며 노래를 불러보는게 좋아,음악
박수 치며 노래 부르는게 좋아,음악
손가락 장단에 맞춰 노래 부르는게 좋아,음악
몸을 흔들며 노래 부르는게 좋아,음악
악보를 보며 노래 부르는게 좋아,음악
신이 나면 노래를 부르는게 좋아,음악
피아노를 치는게 좋아,음악
바이올린을 키는게 좋아,음악
케스터넷츠로 박자를 맞추는게 좋아,음악
둥둥둥 북을 치는게 좋아,음악
고개를 끄덕끄덕하며 박자를 맞추는게 좋아,음악
리듬에 맞춰서 노래를 부르는게 좋아,음악
음표를 볼 줄 아는게 좋아,음악
음악하는게 좋아,음악
친구들과 장단 맞춰 노래를 부르는게 좋아,음악
리듬에 맞춰 춤을 추는게 좋아,음악
시냇물 소리가 피아노 소리처럼 맑은게 좋아,음악
바람소리가 음악소리 처럼 들리는게 좋아,음악
파도소리가 힘찬 악기 소리 같은게 좋아,음악
똑똑똑 물 떨어지는 소리를 듣는게 좋아,음악
노래를 부르고 기분이 좋아지는게 좋아,음악
음표에 대해서 배우는게 좋아,음악
노래 부르는게 좋아,음악
노래 듣는게 좋아,음악
악보를 잘 보는게 좋아,음악
음표에 맞춰 악기 연주를 할 수 있는게 좋아,음악
동요 부르는게 좋아,음악
가수 따라 노래 부르는게 좋아,음악
음악 시간을 가지는게 좋아,음악
악기 가지고 놀면서 있는게 좋아,음악
심벌즈 가지고 놀면서 있는게 좋아,음악
탐탐 가지고 놀면서 있는게 좋아,음악
캐스터네츠 가지고 놀면서 있는게 좋아,음악
트라이앵글 가지고 놀면서 있는게 좋아,음악
종 가지고 놀면서 있는게 좋아,음악
벨 가지고 놀면서 있는게 좋아,음악
마라카스 가지고 놀면서 있는게 좋아,음악
실로폰 가지고 놀면서 있는게 좋아,음악
철금 가지고 놀면서 있는게 좋아,음악
첼레스타 가지고 놀면서 있는게 좋아,음악
북 가지고 놀면서 있는게 좋아,음악
큰북 가지고 놀면서 있는게 좋아,음악
작은북 가지고 놀면서 있는게 좋아,음악
팀파니 가지고 놀면서 있는게 좋아,음악
탬버린 가지고 놀면서 있는게 좋아,음악
봉고 가지고 놀면서 있는게 좋아,음악
콩가 가지고 놀면서 있는게 좋아,음악
톰톰 가지고 놀면서 있는게 좋아,음악
바이올린 가지고 놀면서 있는게 좋아,음악
첼로 가지고 놀면서 있는게 좋아,음악
비올라 가지고 놀면서 있는게 좋아,음악
비올 가지고 놀면서 있는게 좋아,음악
콘트라베이스 가지고 놀면서 있는게 좋아,음악
류트 가지고 놀면서 있는게 좋아,음악
만돌린 가지고 놀면서 있는게 좋아,음악
밴조 가지고 놀면서 있는게 좋아,음악
우클렐레 가지고 놀면서 있는게 좋아,음악
치터 가지고 놀면서 있는게 좋아,음악
발랄라이카 가지고 놀면서 있는게 좋아,음악
키타라 가지고 놀면서 있는게 좋아,음악
리라 가지고 놀면서 있는게 좋아,음악
기타 가지고 놀면서 있는게 좋아,음악
클라비코드 가지고 놀면서 있는게 좋아,음악
하프 가지고 놀면서 있는게 좋아,음악
쳄발로 가지고 놀면서 있는게 좋아,음악
피아노 가지고 놀면서 있는게 좋아,음악
플루트 가지고 놀면서 있는게 좋아,음악
피콜로 가지고 놀면서 있는게 좋아,음악
오보에 가지고 놀면서 있는게 좋아,음악
호른 가지고 놀면서 있는게 좋아,음악
파곳 가지고 놀면서 있는게 좋아,음악
클라리넷 가지고 놀면서 있는게 좋아,음악
색소폰 가지고 놀면서 있는게 좋아,음악
트럼펫 가지고 놀면서 있는게 좋아,음악
코넷 가지고 놀면서 있는게 좋아,음악
호른 가지고 놀면서 있는게 좋아,음악
트롬본 가지고 놀면서 있는게 좋아,음악
튜바 가지고 놀면서 있는게 좋아,음악
오르간 가지고 놀면서 있는게 좋아,음악
아코디언 가지고 놀면서 있는게 좋아,음악
반도네온 가지고 놀면서 있는게 좋아,음악
백파이프 가지고 놀면서 있는게 좋아,음악
리코더 가지고 놀면서 있는게 좋아,음악
오카리나 가지고 놀면서 있는게 좋아,음악
아울로스 가지고 놀면서 있는게 좋아,음악
팬플루트 가지고 놀면서 있는게 좋아,음악
방향 가지고 놀면서 있는게 좋아,음악
교방고 가지고 놀면서 있는게 좋아,음악
장구 가지고 놀면서 있는게 좋아,음악
북 가지고 놀면서 있는게 좋아,음악
소고 가지고 놀면서 있는게 좋아,음악
징 가지고 놀면서 있는게 좋아,음악
꽹과리 가지고 놀면서 있는게 좋아,음악
박 가지고 놀면서 있는게 좋아,음악
자바라 가지고 놀면서 있는게 좋아,음악
운라 가지고 놀면서 있는게 좋아,음악
대금 가지고 놀면서 있는게 좋아,음악
중금 가지고 놀면서 있는게 좋아,음악
소금 가지고 놀면서 있는게 좋아,음악
피리 가지고 놀면서 있는게 좋아,음악
초적 가지고 놀면서 있는게 좋아,음악
소관자 가지고 놀면서 있는게 좋아,음악
소 가지고 놀면서 있는게 좋아,음악
생황 가지고 놀면서 있는게 좋아,음악
당적 가지고 놀면서 있는게 좋아,음악
퉁소 가지고 놀면서 있는게 좋아,음악
단소 가지고 놀면서 있는게 좋아,음악
태평소 가지고 놀면서 있는게 좋아,음악
나발 가지고 놀면서 있는게 좋아,음악
나각 가지고 놀면서 있는게 좋아,음악
거문고 가지고 놀면서 있는게 좋아,음악
가야금 가지고 놀면서 있는게 좋아,음악
대쟁 가지고 놀면서 있는게 좋아,음악
아쟁 가지고 놀면서 있는게 좋아,음악
비파 가지고 놀면서 있는게 좋아,음악
월금 가지고 놀면서 있는게 좋아,음악
공후 가지고 놀면서 있는게 좋아,음악
해금 가지고 놀면서 있는게 좋아,음악
양금 가지고 놀면서 있는게 좋아,음악
악기 소리가 뭔지 맞히기 하는게 좋아,음악
심벌즈 소리가 뭔지 맞히기 하는게 좋아,음악
탐탐 소리가 뭔지 맞히기 하는게 좋아,음악
캐스터네츠 소리가 뭔지 맞히기 하는게 좋아,음악
트라이앵글 소리가 뭔지 맞히기 하는게 좋아,음악
종 소리가 뭔지 맞히기 하는게 좋아,음악
벨 소리가 뭔지 맞히기 하는게 좋아,음악
마라카스 소리가 뭔지 맞히기 하는게 좋아,음악
실로폰 소리가 뭔지 맞히기 하는게 좋아,음악
철금 소리가 뭔지 맞히기 하는게 좋아,음악
첼레스타 소리가 뭔지 맞히기 하는게 좋아,음악
북 소리가 뭔지 맞히기 하는게 좋아,음악
큰북 소리가 뭔지 맞히기 하는게 좋아,음악
작은북 소리가 뭔지 맞히기 하는게 좋아,음악
팀파니 소리가 뭔지 맞히기 하는게 좋아,음악
탬버린 소리가 뭔지 맞히기 하는게 좋아,음악
봉고 소리가 뭔지 맞히기 하는게 좋아,음악
콩가 소리가 뭔지 맞히기 하는게 좋아,음악
톰톰 소리가 뭔지 맞히기 하는게 좋아,음악
바이올린 소리가 뭔지 맞히기 하는게 좋아,음악
첼로 소리가 뭔지 맞히기 하는게 좋아,음악
비올라 소리가 뭔지 맞히기 하는게 좋아,음악
비올 소리가 뭔지 맞히기 하는게 좋아,음악
콘트라베이스 소리가 뭔지 맞히기 하는게 좋아,음악
류트 소리가 뭔지 맞히기 하는게 좋아,음악
만돌린 소리가 뭔지 맞히기 하는게 좋아,음악
밴조 소리가 뭔지 맞히기 하는게 좋아,음악
우클렐레 소리가 뭔지 맞히기 하는게 좋아,음악
치터 소리가 뭔지 맞히기 하는게 좋아,음악
발랄라이카 소리가 뭔지 맞히기 하는게 좋아,음악
키타라 소리가 뭔지 맞히기 하는게 좋아,음악
리라 소리가 뭔지 맞히기 하는게 좋아,음악
기타 소리가 뭔지 맞히기 하는게 좋아,음악
클라비코드 소리가 뭔지 맞히기 하는게 좋아,음악
하프 소리가 뭔지 맞히기 하는게 좋아,음악
쳄발로 소리가 뭔지 맞히기 하는게 좋아,음악
피아노 소리가 뭔지 맞히기 하는게 좋아,음악
플루트 소리가 뭔지 맞히기 하는게 좋아,음악
피콜로 소리가 뭔지 맞히기 하는게 좋아,음악
오보에 소리가 뭔지 맞히기 하는게 좋아,음악
호른 소리가 뭔지 맞히기 하는게 좋아,음악
파곳 소리가 뭔지 맞히기 하는게 좋아,음악
클라리넷 소리가 뭔지 맞히기 하는게 좋아,음악
색소폰 소리가 뭔지 맞히기 하는게 좋아,음악
트럼펫 소리가 뭔지 맞히기 하는게 좋아,음악
코넷 소리가 뭔지 맞히기 하는게 좋아,음악
호른 소리가 뭔지 맞히기 하는게 좋아,음악
트롬본 소리가 뭔지 맞히기 하는게 좋아,음악
튜바 소리가 뭔지 맞히기 하는게 좋아,음악
오르간 소리가 뭔지 맞히기 하는게 좋아,음악
아코디언 소리가 뭔지 맞히기 하는게 좋아,음악
반도네온 소리가 뭔지 맞히기 하는게 좋아,음악
백파이프 소리가 뭔지 맞히기 하는게 좋아,음악
리코더 소리가 뭔지 맞히기 하는게 좋아,음악
오카리나 소리가 뭔지 맞히기 하는게 좋아,음악
아울로스 소리가 뭔지 맞히기 하는게 좋아,음악
팬플루트 소리가 뭔지 맞히기 하는게 좋아,음악
방향 소리가 뭔지 맞히기 하는게 좋아,음악
교방고 소리가 뭔지 맞히기 하는게 좋아,음악
장구 소리가 뭔지 맞히기 하는게 좋아,음악
북 소리가 뭔지 맞히기 하는게 좋아,음악
소고 소리가 뭔지 맞히기 하는게 좋아,음악
징 소리가 뭔지 맞히기 하는게 좋아,음악
꽹과리 소리가 뭔지 맞히기 하는게 좋아,음악
박 소리가 뭔지 맞히기 하는게 좋아,음악
자바라 소리가 뭔지 맞히기 하는게 좋아,음악
운라 소리가 뭔지 맞히기 하는게 좋아,음악
대금 소리가 뭔지 맞히기 하는게 좋아,음악
중금 소리가 뭔지 맞히기 하는게 좋아,음악
소금 소리가 뭔지 맞히기 하는게 좋아,음악
