답변,지능
나뭇잎 가지고 노는게 좋아,자연
나무 보면서 노는게 좋아,자연
하늘 보면서 있는게 좋아,자연
꽃 보면서 노는게 좋아,자연
그림자 놀이하는게 좋아,자연
그림자 맞추기 하는게 좋아,자연
동물에 대해 보고 배우는게 좋아,자연
식물이 어떻게 생겼는지 보는게 좋아,자연
곤충에 대해 배우는게 좋아,자연
곤충이 어떻게 생겼는지 보고 있는게 좋아,자연
벌레를 어떻게 생겼는지 보고 배우는게 좋아,자연
동물이랑 식물을 관찰하면서 특징을 보는게 좋아,자연
벌레랑 곤충을 관찰하는게 좋아,자연
해랑 달 보면서 있는게 좋아,자연
우주에 뭐가 있는지 보는게 좋아,자연
하늘 보면서 뭐가 있는지 보는게 좋아,자연
계절에 따라 나무가 어떻게 달라지는지 보는게 좋아,자연
계절이 달라지면 숲이 어떻게 변화하는지 보는게 좋아,자연
돋보기로 나뭇잎을 보면서 관찰하는게 좋아,자연
돋보기를 이용해서 곤충과 벌레를 관찰하는게 좋아,자연
그림자가 어떻게 만들어지는지 배우는게 좋아,자연
해시계를 만들어서 어떻게 해야하는지 배우는게 좋아,자연
그림카드를 보면서 동물이랑 식물이 어떻게 다른지 배우는게 좋아,자연
자연이 뭔지 배우는게 좋아,자연
사람들이 자연에서 어떤 것을 얻는지 배우는게 좋아,자연
우리들이 어떤 것을 자연에서 받는지 배우는게 좋아,자연
바람이 왜 우리한테 좋은지 배우는게 좋아,자연
달이 어떻게 변하는지 관찰하고 배우는게 좋아,자연
해가 우리한테 좋은게 뭔지 배우는게 좋아,자연
옛날 물건은 어떻게 생겼는지 이야기해 하는게 좋아,자연
곤충을 구경하는게 좋아,자연
풍경을 구경하는게 좋아,자연
동물을 구경하는게 좋아,자연
사람을 구경하는게 좋아,자연
벌레을 구경하는게 좋아,자연
곤충을 관찰하는게 좋아,자연
풍경을 관찰하는게 좋아,자연
동물을 관찰하는게 좋아,자연
사람을 관찰하는게 좋아,자연
벌레을 관찰하는게 좋아,자연
꽃 구경하는게 좋아,자연
꽃 관찰하는게 좋아,자연
흙 관찰하는게 좋아,자연
산에 가서 곤충을 보는게 좋아,자연
산에서 푸른 나무를 보는게 좋아,자연
산에서 여러 식물을 보는게 좋아,자연
산에는 나무가 많은데 그 안에 있는게 좋아,자연
산에는 돌과 꽃이 있어서 그걸 보는게 좋아,자연
산에는 동물들이 많은데 동물들을 보는게 좋아,자연
산에 가서 곤충을 관찰하는게 좋아,자연
내가 좋아하는 곤충들을 찾아보는게 좋아,자연
나무들을 관찰하고 나무 위에 있는 새를 보는게 좋아,자연
산에 사는 식물들을 관찰해보는게 좋아,자연
"나무는 키가 큰 나무도 있고, 키 작은 나무도 있는데 그걸 보는게 좋아",자연
나무에있는 열매와 줄기와 꽃을 보는게 좋아,자연
나무에 있는 예쁜 잎들을 보는게 좋아,자연
꽃밭에 있는 벌과 나비들을 관찰해보는게 좋아,자연
꽃밭에 누워서 꽃을 구경하는게 좋아,자연
예쁜 꽃을 보는게 좋아,자연
색깔이 예쁜 꽃들을 보는게 좋아,자연
향기로운 꽃을 보는게 좋아,자연
부드러운 모래를 만지면서 노는게 좋아,자연
채소가 땅에서 자라는것을 보는게 좋아,자연
"지렁이나, 굼벵이들이 기어가는것을 보는게 좋아",자연
땅에서 자라는 것들 것이 뭐가 있는지 공부하는게 좋아,자연
땅에서 나는 시골냄새를 맡아보는게 좋아,자연
땅을 소중하게 생각해보는게 좋아,자연
바위가 쪼개져 돌이 되고 돌이 부서져 흙이 되는 과정을 공부하는게 좋아,자연
돌은 여러가지 모양을 갖고 있는걸 관찰하는게 좋아,자연
"새싹이 날 때는 색깔이 연한 초록색이고, 점점 짙은 초록색으로 변하는걸 보는게 좋아",자연
