답변,지능
친구들이랑 노는게 좋아,관계
가족들이랑 같이 노는게 좋아,관계
친구들이랑 사이 좋게지내는게 좋아,관계
친구들이랑 재밌게 노는게 좋아,관계
얘들이랑 사이좋게 노는게 좋아,관계
애들이랑 재밌게 노는게 좋아,관계
가족들이랑 같이 지내는게 좋아,관계
아빠가 같이 놀아주는게 좋아,관계
엄마가 같이 놀아주는게 좋아,관계
동생이랑 같이 노는게 좋아,관계
형이랑 같이 노는게 좋아,관계
누나랑 같이 노는게 좋아,관계
아빠랑 재밌게 있는게 좋아,관계
엄마랑 재밌게 있는게 좋아,관계
동생이랑 재밌게 있는게 좋아,관계
형이랑 재밌게 있는게 좋아,관계
누나랑 재밌게 있는게 좋아,관계
언니랑 재밌게 노는게 좋아,관계
언니랑 재밌게 있는게 좋아,관계
오빠랑 같이 노는게 좋아,관계
오빠랑 재밌게 있는게 좋아,관계
친구와 사이 좋게 지내는게 좋아,관계
친구랑 친하게 지내려고 하는게 좋아,관계
친구를 아끼고 잘해주는게 좋아,관계
서로 잘 해준는게 좋아,관계
친구가 좋아하는 걸 같이하는게 좋아,관계
친구에게 거짓말을 안하는게 좋아,관계
친구를 사랑하는게 좋아,관계
친구가 싫어하는 건 안하려고 노력해야하는게 좋아,관계
친구를 잘 도와줘야하는게 좋아,관계
친구랑 같이 얘기하는게 좋아,관계
친구랑 같이 노는게 좋아,관계
친구랑 자전거 타고 노는게 좋아,관계
친구에게 내 비밀을 털어놓는게 좋아,관계
친구랑 같이 있는게 좋아,관계
"엄마,아빠가 좋아하고 행복해하는게 좋아",관계
"엄마, 아빠가 나의 행동을 좋아하는게 좋아",관계
"엄마, 아빠,선생님에게 칭찬 받으려고 노력하는게 좋아",관계
심부름을 해서 엄마가 좋아하게 만든는게 좋아,관계
친구를 화나게 하지 않으려고 노력하는게 좋아,관계
친구에게 칭찬을 해주는게 좋아,관계
친구에게 예쁘다고 말해주는게 좋아,관계
동생을 잘 보살펴주는게 좋아,관계
어려운 사람에게 도움을 주는게 좋아,관계
다친 친구를 달래 주는게 좋아,관계
엄마가 아플 때 다리를 주물러 주는게 좋아,관계
친구들보다 먼저 정리를 하는게 좋아,관계
친구 것까지 정리를 하는게 좋아,관계
친구들이 싸울 때 화해 시키는게 좋아,관계
친구에게 양보 하는게 좋아,관계
친구를 위로 하는게 좋아,관계
우는 친구를 달래 주는게 좋아,관계
내가 가지고 있는 과자를 친구들에게 나눠 주는게 좋아,관계
유치원에서 친구들과 사이 좋게 지내는게 좋아,관계
지하철을 탈 때 줄을 잘 서는게 좋아,관계
친구에게 자리를 양보하는게 좋아,관계
선생님을 도와드리는게 좋아,관계
동생을 돌 봐주는게 좋아,관계
힘든 친구에게 친절하게 대하는게 좋아,관계
친구가 아플 때 위로해주는게 좋아,관계
친구와 같이 무거운 물건을 들어주는게 좋아,관계
친구 가방을 들어 주는게 좋아,관계
친구에게 내 장난감을 빌려주는게 좋아,관계
동생을 잘 돌봐 주는게 좋아,관계
놀이터에서 미끄럼타기를 친구에게 양보하는게 좋아,관계
서로 좋다고 말해주는게 좋아,관계
친구와 사이좋게 잘 지내는게 좋아,관계
다른 사람의 말을 예쁘게 말하고 귀담아 듣는게 좋아,관계
친구를 도와주면 친구가 고맙다고 말해주는게 좋아,관계
다른 사람에게 사랑한다고 말 해주는게 좋아,관계
칭찬 받는게 좋아,관계
친구나 다른 사람을 도와주는게 좋아,관계
친구들의 이야기를 잘 들어주고 잘 대해주는게 좋아,관계
친구들은 나를 좋아하고 나에게 잘 대해주는게 좋아,관계
친구나 다른 사람과 공놀이 할 때 친해지는게 좋아,관계
친구와 소꿉 놀이를 하면서 노는게 좋아,관계
"친구하고 엄마, 아빠 놀이를 하는게 좋아",관계
나는 친구들과 잘 놀는게 좋아,관계
친구들이 날 잘 대해주는게 좋아,관계
친구들하고 잘 통하는게 좋아,관계
친구가 싫어하는 행동을 안하는게 좋아,관계
친구를 이해하려고 노력하는게 좋아,관계
친구와 즐겁게 노는게 좋아,관계
친구를 도와줘야 하는게 좋아,관계
친구와 싸우면 금방 화해야하는게 좋아,관계
미안하다고 말해주는게 좋아,관계
선생님에게 고맙다고 말하는게 좋아,관계
다른 친구와 우리 집에서 게임을 하며 노는게 좋아,관계
나는 유치원에서 재미있게 연극을 하며 예절을 배우는게 좋아,관계
친구들과 뛰어 놀며 노는게 좋아,관계
바깥에 나가서 다른 사람들과 노는게 좋아,관계
친구들과 놀이터에서 있어야하는게 좋아,관계
인사를 잘 하는게 좋아,관계
누군가에게 선물을 받는게 좋아,관계
친구를 도와주는게 좋아,관계
사랑해 라는 말을 듣는게 좋아,관계
미안하다고 말을 하는게 좋아,관계
친구들과 숨바꼭질 하는게 좋아,관계
친구하고 소꿉놀이 하는게 좋아,관계
"엄마, 아빠랑 같이 있는게 좋아",관계
"엄마, 아빠를 사랑하는게 좋아",관계
선생님을 사랑하는게 좋아,관계
"할머니, 할아버지를 사랑하는게 좋아",관계
"동생, 형, 언니, 오빠를 사랑하는게 좋아",관계
선생님 말씀을 듣고 잘 할 수 있는게 좋아,관계
친구와 친하게 지내는게 좋아,관계
친구도 나를 사랑하는게 좋아,관계
친구와 놀이터에서 노는게 좋아,관계
친구와 이야기를 잘하는게 좋아,관계
"엄마, 아빠 말씀을 잘 듣는게 좋아",관계
친구들과 사이좋게 지내는게 좋아,관계
가족과 함께 있는게 좋아,관계
친구들이랑 노는거 잘해,관계
친구들이랑 노는게 신나,관계
친구들이랑 노는게 즐거워,관계
가족들이랑 같이 노는거 잘해,관계
가족들이랑 같이 노는게 신나,관계
가족들이랑 같이 노는게 즐거워,관계
친구들이랑 사이 좋게지내는거 잘해,관계
친구들이랑 사이 좋게지내는게 신나,관계
친구들이랑 사이 좋게지내는게 즐거워,관계
친구들이랑 재밌게 노는거 잘해,관계
친구들이랑 재밌게 노는게 신나,관계
친구들이랑 재밌게 노는게 즐거워,관계
얘들이랑 사이좋게 노는거 잘해,관계
얘들이랑 사이좋게 노는게 신나,관계
얘들이랑 사이좋게 노는게 즐거워,관계
애들이랑 재밌게 노는거 잘해,관계
애들이랑 재밌게 노는게 신나,관계
애들이랑 재밌게 노는게 즐거워,관계
가족들이랑 같이 지내는거 잘해,관계
가족들이랑 같이 지내는게 신나,관계
가족들이랑 같이 지내는게 즐거워,관계
아빠가 같이 놀아주는거 잘해,관계
아빠가 같이 놀아주는게 신나,관계
아빠가 같이 놀아주는게 즐거워,관계
엄마가 같이 놀아주는거 잘해,관계
엄마가 같이 놀아주는게 신나,관계
엄마가 같이 놀아주는게 즐거워,관계
동생이랑 같이 노는거 잘해,관계
동생이랑 같이 노는게 신나,관계
동생이랑 같이 노는게 즐거워,관계
형이랑 같이 노는거 잘해,관계
형이랑 같이 노는게 신나,관계
형이랑 같이 노는게 즐거워,관계
누나랑 같이 노는거 잘해,관계
누나랑 같이 노는게 신나,관계
누나랑 같이 노는게 즐거워,관계
아빠랑 재밌게 있는거 잘해,관계
아빠랑 재밌게 있는게 신나,관계
아빠랑 재밌게 있는게 즐거워,관계
엄마랑 재밌게 있는거 잘해,관계
엄마랑 재밌게 있는게 신나,관계
엄마랑 재밌게 있는게 즐거워,관계
동생이랑 재밌게 있는거 잘해,관계
동생이랑 재밌게 있는게 신나,관계
동생이랑 재밌게 있는게 즐거워,관계
형이랑 재밌게 있는거 잘해,관계
형이랑 재밌게 있는게 신나,관계
형이랑 재밌게 있는게 즐거워,관계
누나랑 재밌게 있는거 잘해,관계
누나랑 재밌게 있는게 신나,관계
누나랑 재밌게 있는게 즐거워,관계
언니랑 재밌게 노는거 잘해,관계
언니랑 재밌게 노는게 신나,관계
언니랑 재밌게 노는게 즐거워,관계
언니랑 재밌게 있는거 잘해,관계
언니랑 재밌게 있는게 신나,관계
언니랑 재밌게 있는게 즐거워,관계
오빠랑 같이 노는거 잘해,관계
오빠랑 같이 노는게 신나,관계
오빠랑 같이 노는게 즐거워,관계
오빠랑 재밌게 있는거 잘해,관계
오빠랑 재밌게 있는게 신나,관계
오빠랑 재밌게 있는게 즐거워,관계
친구와 사이 좋게 지내는거 잘해,관계
친구와 사이 좋게 지내는게 신나,관계
친구와 사이 좋게 지내는게 즐거워,관계
친구랑 친하게 지내려고 하는거 잘해,관계
친구랑 친하게 지내려고 하는게 신나,관계
친구랑 친하게 지내려고 하는게 즐거워,관계
친구가 좋아하는 걸 같이하는거 잘해,관계
친구가 좋아하는 걸 같이하는게 신나,관계
친구가 좋아하는 걸 같이하는게 즐거워,관계
친구에게 거짓말을 안하는거 잘해,관계
친구에게 거짓말을 안하는게 신나,관계
친구에게 거짓말을 안하는게 즐거워,관계
친구를 사랑하는거 잘해,관계
친구를 사랑하는게 신나,관계
친구를 사랑하는게 즐거워,관계
