답변,지능
축구하면서 노는게 좋아,신체
축구하는게 좋아,신체
운동하는게 좋아,신체
운동하면서 있는게 좋아,신체
술래잡기하면서 뛰면서 노는게 좋아,신체
운동하면서 뛰는게 좋아,신체
오늘 공차고 노는게 좋아,신체
공을 제일 멀리 던지는게 좋아,신체
공을 던지면서 노는게 좋아,신체
공을 더지는게 좋아,신체
공을 주고받기하는게 좋아,신체
공 가지고 노는게 좋아,신체
누가 빨리 달리나 시합하는게 좋아,신체
동물을 흉내내기 하는게 좋아,신체
몸으로 동물 흉내를 내기하는게 좋아,신체
동물이 어떻게 움직이는지 흉내하는게 좋아,신체
춤추면서 뛰어 다니는게 좋아,신체
춤추고 뛰면서 노는게 좋아,신체
놀이터에서 미끄럼틀이랑 시소랑 그네 타는게 좋아,신체
놀이터에서 뛰어다니면서 점프하면서 노는게 좋아,신체
공 튕기면서 주고받기하는게 좋아,신체
손으로 공을 던지면서 노는게 좋아,신체
구슬을 굴리면서 노는게 좋아,신체
공을 골대에 넣기하는게 좋아,신체
공을 바구니에 빨리 넣기하면서 노는게 좋아,신체
농구하면서 있는게 좋아,신체
동물이 어떻게 움직이는지 보고 따라서 움직이는게 좋아,신체
손으로 하는 걸 많이하는게 좋아,신체
발로 하는 걸 많이하는게 좋아,신체
손으로 단추를 끼워보면서 노는게 좋아,신체
리본 묶으면서 놀고 젓가락으로 콩 옮기기 하면서 노는게 좋아,신체
엄청 뛰어다니는게 좋아,신체
많이 걸어다니는게 좋아,신체
뛰어다니면서 신나게 노는게 좋아,신체
누가 제일 멀리 던지나 시합하는게 좋아,신체
나비처럼 훨훨 나는게 좋아,신체
새처럼 나는게 좋아,신체
토끼처럼 깡충깡충 뛰어보는게 좋아,신체
군인처럼 씩씩하게 걸어보는게 좋아,신체
바람처럼 가볍게 뛸 수 있는게 좋아,신체
고양이 처럼 훌쩍 뛰어 내려보는게 좋아,신체
말처럼 뛰어보는게 좋아,신체
새처럼 날개 짓을 하는게 좋아,신체
발레리나처럼 예쁘게 춤춰보는게 좋아,신체
덤블링을 하는게 좋아,신체
뜀틀에서 뛰어보는게 좋아,신체
철봉에 오래 메달려 있는게 좋아,신체
빨리 달려보는게 좋아,신체
친구들이랑 뛰어보는게 좋아,신체
하늘을 날아보는게 좋아,신체
엎드려서 있는게 좋아,신체
뒤로 제켜보는게 좋아,신체
구부려서 무언가를 주워보는게 좋아,신체
몸을 비틀어서 있어보는게 좋아,신체
앉았다 일어나는게 좋아,신체
친구들이랑 춤춰보는게 좋아,신체
누워서 구르는게 좋아,신체
눈을 감았다가 떠보는게 좋아,신체
몸을 흔들어서 나를 흔들어보는게 좋아,신체
몸을 털어서 흔들리는게 좋아,신체
뚜벅뚜벅 걸어보는게 좋아,신체
신나게 춤춰보는게 좋아,신체
신나게 춤을 추다가 그대로 멈춰보는게 좋아,신체
어딘가에 숨어있다가 뛰쳐나오는게 좋아,신체
뒤를 돌아 보면서 걸어보는게 좋아,신체
앞으로 달렸다가 뒤로 달렸다가 하는게 좋아,신체
어깨를 움직여 춤을 춰보는게 좋아,신체
리듬에 맞춰 훌라후프를 돌려보는게 좋아,신체
퀵보드를 타고 놀아보는게 좋아,신체
균형잡기 놀이를 해보는게 좋아,신체
바람개비처럼 팔을 돌려보는게 좋아,신체
손으로 부채를 부치듯 있는게 좋아,신체
스카프 돌리기를 하면서 뛰는게 좋아,신체
징검다리 건너기를 하면서 점프하는게 좋아,신체
뜀 뛰기하는게 좋아,신체
팡팡이 타면서 노는게 좋아,신체
줄넘기를 하면서 점프해보는게 좋아,신체
뛰어 놀고 나면 땀이 나는게 좋아,신체
높이 뛰어오를 수 있는게 좋아,신체
얍얍 소리지르며 태권도를 해보는게 좋아,신체
게임 하는게 좋아,신체
자전거 타고 노는게 좋아,신체
놀이터에서 노는게 좋아,신체
자전거를 빠르게 탈 수 있는게 좋아,신체
퀵 보드를 잘 탈 수 있는게 좋아,신체
줄넘기를 잘하는게 좋아,신체
무용시간을 갖는게 좋아,신체
규칙적인 생활을 할 수 있는게 좋아,신체
일찍 자고 일찍 일어나는게 좋아,신체
맛있는 음식을 먹을 수 있는게 좋아,신체
내가 좋아하는 음식을 먹는게 좋아,신체
농구하는게 좋아,신체
럭비하는게 좋아,신체
야구하는게 좋아,신체
축구하는게 좋아,신체
하키하는게 좋아,신체
핸드볼하는게 좋아,신체
풋살하는게 좋아,신체
플라잉디스크하는게 좋아,신체
피구하는게 좋아,신체
라켓볼하는게 좋아,신체
배구하는게 좋아,신체
배드민턴하는게 좋아,신체
스쿼시하는게 좋아,신체
세팍타크로하는게 좋아,신체
정구하는게 좋아,신체
탁구하는게 좋아,신체
테니스하는게 좋아,신체
족구하는게 좋아,신체
검도하는게 좋아,신체
복싱하는게 좋아,신체
레슬링하는게 좋아,신체
우슈하는게 좋아,신체
씨름하는게 좋아,신체
태권도하는게 좋아,신체
유도하는게 좋아,신체
리듬체조하는게 좋아,신체
에어로빅하는게 좋아,신체
보디빌딩하는게 좋아,신체
댄스스포츠하는게 좋아,신체
줄넘기하는게 좋아,신체
레크리에이션하는게 좋아,신체
자전거하는게 좋아,신체
인라인스케이트하는게 좋아,신체
행글라이딩하는게 좋아,신체
패러글라이딩하는게 좋아,신체
등산하는게 좋아,신체
승마하는게 좋아,신체
요토하는게 좋아,신체
윈드서핑하는게 좋아,신체
수상스키하는게 좋아,신체
수영하는게 좋아,신체
스킨스쿠버하는게 좋아,신체
조정하는게 좋아,신체
카누하는게 좋아,신체
빙상하는게 좋아,신체
아이스하키하는게 좋아,신체
스키하는게 좋아,신체
게이트볼하는게 좋아,신체
골프하는게 좋아,신체
육상하는게 좋아,신체
파크골프하는게 좋아,신체
궁도하는게 좋아,신체
사격하는게 좋아,신체
당구하는게 좋아,신체
볼링하는게 좋아,신체
피겨스케이팅하는게 좋아,신체
훌라후프하는게 좋아,신체
농구하면서 있는게 좋아,신체
럭비하면서 있는게 좋아,신체
야구하면서 있는게 좋아,신체
축구하면서 있는게 좋아,신체
하키하면서 있는게 좋아,신체
핸드볼하면서 있는게 좋아,신체
풋살하면서 있는게 좋아,신체
플라잉디스크하면서 있는게 좋아,신체
피구하면서 있는게 좋아,신체
라켓볼하면서 있는게 좋아,신체
배구하면서 있는게 좋아,신체
배드민턴하면서 있는게 좋아,신체
스쿼시하면서 있는게 좋아,신체
세팍타크로하면서 있는게 좋아,신체
정구하면서 있는게 좋아,신체
탁구하면서 있는게 좋아,신체
테니스하면서 있는게 좋아,신체
족구하면서 있는게 좋아,신체
검도하면서 있는게 좋아,신체
복싱하면서 있는게 좋아,신체
레슬링하면서 있는게 좋아,신체
우슈하면서 있는게 좋아,신체
씨름하면서 있는게 좋아,신체
태권도하면서 있는게 좋아,신체
유도하면서 있는게 좋아,신체
리듬체조하면서 있는게 좋아,신체
에어로빅하면서 있는게 좋아,신체
보디빌딩하면서 있는게 좋아,신체
댄스스포츠하면서 있는게 좋아,신체
줄넘기하면서 있는게 좋아,신체
레크리에이션하면서 있는게 좋아,신체
자전거하면서 있는게 좋아,신체
인라인스케이트하면서 있는게 좋아,신체
행글라이딩하면서 있는게 좋아,신체
패러글라이딩하면서 있는게 좋아,신체
등산하면서 있는게 좋아,신체
승마하면서 있는게 좋아,신체
요토하면서 있는게 좋아,신체
윈드서핑하면서 있는게 좋아,신체
수상스키하면서 있는게 좋아,신체
수영하면서 있는게 좋아,신체
스킨스쿠버하면서 있는게 좋아,신체
조정하면서 있는게 좋아,신체
카누하면서 있는게 좋아,신체
빙상하면서 있는게 좋아,신체
아이스하키하면서 있는게 좋아,신체
스키하면서 있는게 좋아,신체
게이트볼하면서 있는게 좋아,신체
골프하면서 있는게 좋아,신체
육상하면서 있는게 좋아,신체
파크골프하면서 있는게 좋아,신체
궁도하면서 있는게 좋아,신체
사격하면서 있는게 좋아,신체
당구하면서 있는게 좋아,신체
볼링하면서 있는게 좋아,신체
피겨스케이팅하면서 있는게 좋아,신체
훌라후프하면서 있는게 좋아,신체
농구하면서 뛰는게 좋아,신체
럭비하면서 뛰는게 좋아,신체
야구하면서 뛰는게 좋아,신체
축구하면서 뛰는게 좋아,신체
하키하면서 뛰는게 좋아,신체
핸드볼하면서 뛰는게 좋아,신체
풋살하면서 뛰는게 좋아,신체
플라잉디스크하면서 뛰는게 좋아,신체
피구하면서 뛰는게 좋아,신체
라켓볼하면서 뛰는게 좋아,신체
배구하면서 뛰는게 좋아,신체
배드민턴하면서 뛰는게 좋아,신체
스쿼시하면서 뛰는게 좋아,신체
세팍타크로하면서 뛰는게 좋아,신체
정구하면서 뛰는게 좋아,신체
탁구하면서 뛰는게 좋아,신체
테니스하면서 뛰는게 좋아,신체
족구하면서 뛰는게 좋아,신체
검도하면서 뛰는게 좋아,신체
복싱하면서 뛰는게 좋아,신체
레슬링하면서 뛰는게 좋아,신체
우슈하면서 뛰는게 좋아,신체
씨름하면서 뛰는게 좋아,신체
태권도하면서 뛰는게 좋아,신체
유도하면서 뛰는게 좋아,신체
리듬체조하면서 뛰는게 좋아,신체
에어로빅하면서 뛰는게 좋아,신체
보디빌딩하면서 뛰는게 좋아,신체
댄스스포츠하면서 뛰는게 좋아,신체
줄넘기하면서 뛰는게 좋아,신체
레크리에이션하면서 뛰는게 좋아,신체
자전거하면서 뛰는게 좋아,신체
인라인스케이트하면서 뛰는게 좋아,신체
행글라이딩하면서 뛰는게 좋아,신체
패러글라이딩하면서 뛰는게 좋아,신체
등산하면서 뛰는게 좋아,신체
승마하면서 뛰는게 좋아,신체
요토하면서 뛰는게 좋아,신체
윈드서핑하면서 뛰는게 좋아,신체
수상스키하면서 뛰는게 좋아,신체
수영하면서 뛰는게 좋아,신체
스킨스쿠버하면서 뛰는게 좋아,신체
조정하면서 뛰는게 좋아,신체
카누하면서 뛰는게 좋아,신체
빙상하면서 뛰는게 좋아,신체
아이스하키하면서 뛰는게 좋아,신체
스키하면서 뛰는게 좋아,신체
게이트볼하면서 뛰는게 좋아,신체
골프하면서 뛰는게 좋아,신체
육상하면서 뛰는게 좋아,신체
파크골프하면서 뛰는게 좋아,신체
궁도하면서 뛰는게 좋아,신체
사격하면서 뛰는게 좋아,신체
당구하면서 뛰는게 좋아,신체
볼링하면서 뛰는게 좋아,신체
피겨스케이팅하면서 뛰는게 좋아,신체
훌라후프하면서 뛰는게 좋아,신체
축구하면서 노는거 잘해,신체
축구하면서 노는게 신나,신체
축구하면서 노는게 즐거워,신체
축구하는거 잘해,신체
축구하는게 신나,신체
축구하는게 즐거워,신체
운동하는거 잘해,신체
운동하는게 신나,신체
운동하는게 즐거워,신체
운동하면서 있는거 잘해,신체
운동하면서 있는게 신나,신체
운동하면서 있는게 즐거워,신체
술래잡기하면서 뛰면서 노는거 잘해,신체
술래잡기하면서 뛰면서 노는게 신나,신체
술래잡기하면서 뛰면서 노는게 즐거워,신체
운동하면서 뛰는거 잘해,신체
운동하면서 뛰는게 신나,신체
운동하면서 뛰는게 즐거워,신체
오늘 공차고 노는거 잘해,신체
오늘 공차고 노는게 신나,신체
오늘 공차고 노는게 즐거워,신체
공을 제일 멀리 던지는거 잘해,신체
공을 제일 멀리 던지는게 신나,신체
공을 제일 멀리 던지는게 즐거워,신체
공을 던지면서 노는거 잘해,신체
공을 던지면서 노는게 신나,신체
공을 던지면서 노는게 즐거워,신체
공을 더지는거 잘해,신체
공을 더지는게 신나,신체
공을 더지는게 즐거워,신체
공을 주고받기하는거 잘해,신체
공을 주고받기하는게 신나,신체
공을 주고받기하는게 즐거워,신체
공 가지고 노는거 잘해,신체
공 가지고 노는게 신나,신체
공 가지고 노는게 즐거워,신체
누가 빨리 달리나 시합하는거 잘해,신체
누가 빨리 달리나 시합하는게 신나,신체
누가 빨리 달리나 시합하는게 즐거워,신체
동물을 흉내내기 하는거 잘해,신체
동물을 흉내내기 하는게 신나,신체
동물을 흉내내기 하는게 즐거워,신체
몸으로 동물 흉내를 내기하는거 잘해,신체
몸으로 동물 흉내를 내기하는게 신나,신체
몸으로 동물 흉내를 내기하는게 즐거워,신체
동물이 어떻게 움직이는지 흉내하는거 잘해,신체
동물이 어떻게 움직이는지 흉내하는게 신나,신체
동물이 어떻게 움직이는지 흉내하는게 즐거워,신체
춤추면서 뛰어 다니는거 잘해,신체
춤추면서 뛰어 다니는게 신나,신체
춤추면서 뛰어 다니는게 즐거워,신체
춤추고 뛰면서 노는거 잘해,신체
춤추고 뛰면서 노는게 신나,신체
춤추고 뛰면서 노는게 즐거워,신체
놀이터에서 미끄럼틀이랑 시소랑 그네 타는거 잘해,신체
놀이터에서 미끄럼틀이랑 시소랑 그네 타는게 신나,신체
놀이터에서 미끄럼틀이랑 시소랑 그네 타는게 즐거워,신체
놀이터에서 뛰어다니면서 점프하면서 노는거 잘해,신체
놀이터에서 뛰어다니면서 점프하면서 노는게 신나,신체
놀이터에서 뛰어다니면서 점프하면서 노는게 즐거워,신체
공 튕기면서 주고받기하는거 잘해,신체
공 튕기면서 주고받기하는게 신나,신체
공 튕기면서 주고받기하는게 즐거워,신체
손으로 공을 던지면서 노는거 잘해,신체
손으로 공을 던지면서 노는게 신나,신체
손으로 공을 던지면서 노는게 즐거워,신체
구슬을 굴리면서 노는거 잘해,신체
구슬을 굴리면서 노는게 신나,신체
구슬을 굴리면서 노는게 즐거워,신체
공을 골대에 넣기하는거 잘해,신체
공을 골대에 넣기하는게 신나,신체
공을 골대에 넣기하는게 즐거워,신체
공을 바구니에 빨리 넣기하면서 노는거 잘해,신체
공을 바구니에 빨리 넣기하면서 노는게 신나,신체
공을 바구니에 빨리 넣기하면서 노는게 즐거워,신체
농구하면서 있는거 잘해,신체
