답변,지능
책 읽는게 좋아,언어
책 읽으면서 노는게 좋아,언어
책 읽는게 좋아,언어
이야기 내용을 기억해서 이야기 해보는 시간이있는게 좋아,언어
동화 읽는게 좋아,언어
그림책 읽는게 좋아,언어
책 들었고 무슨 이야기를 했나 이야기 하는게 좋아,언어
책을 듣고 누가 나오는지 말한게 좋아,언어
동화 제목이 뭔지 지어보기 한게 좋아,언어
이야기의 주인공이 누구인지 맞히기한게 좋아,언어
글 쓰고 글짓기 하면서 노는게 좋아,언어
시 쓰고 시 읽는게 좋아,언어
동화 들으면서 동화 말하는게 좋아,언어
그림 보면서 그림이 무엇인지 맞추기 하는게 좋아,언어
그림 카드 보면서 뭔지 아는게 좋아,언어
단어 카드 보면서 뭔지 맞추는게 좋아,언어
단어 쓰면서 읽으며서 노는게 좋아,언어
빈 곳에 글자 넣기하는게 좋아,언어
빈칸에 무슨 말이 들어갈지 알아맞히기 하는게 좋아,언어
글자 찾기 놀이하는게 좋아,언어
얘기 듣는 게 좋아,언어
얘기 나누는 게 좋아,언어
이야기 들으면서 있는게 좋아,언어
이야기 나누는 게 좋아,언어
한 글자로 시작하는 단어가 뭔지 맞히기하는게 좋아,언어
그림카드로 이야기가 어떻게 되는지 설명하는게 좋아,언어
이야기 순서에 따라서 그림 카드를 놓아주기하는게 좋아,언어
단어를 쓰고 찾아보면서 뭔지 알아보기 하는게 좋아,언어
연극하면서 동화 설명하는게 좋아,언어
동화를 연극하면서 주인공 역활을 하는게 좋아,언어
그림카드 보면서 무슨 이야기인지 맞히기 하는게 좋아,언어
그림 읽으면서 이야기 하는게 좋아,언어
그림 순서를 맞히면서 동화 설명 하는게 좋아,언어
그림책 읽는게 좋아,언어
시 읽는게 좋아,언어
글짓기 하는게 좋아,언어
글쓰기 연습이랑 말하기 연습하는게 좋아,언어
글쓰기 연습하는게 좋아,언어
글쓰기 하는게 좋아,언어
시 쓰기 하는게 좋아,언어
동화 쓰기 하는게 좋아,언어
나는 동화책 읽는게 좋아,언어
동화책 읽는게 좋아,언어
재미있게 읽은 책 이야기를 하는게 좋아,언어
친구하고 놀이터에서 놀았던 얘기 하는게 좋아,언어
게임 이야기를 듣는게 좋아,언어
강아지랑 놀았던 이야기를 하는게 좋아,언어
즐겁고 신나는 이야기를 듣는게 좋아,언어
선생님이 우리들에게 재미있는 이야기를 해 주는게 좋아,언어
친구하고 이야기 나누는게 좋아,언어
잘 듣고 잘 대답하는게 좋아,언어
잘 말하고 싶은게 좋아,언어
선생님의 이야기를 듣고 잘 대답해서 칭찬 받는게 좋아,언어
입 모양을 잘 하고 또박또박 크게 소리내 읽는게 좋아,언어
단어 읽기하는게 좋아,언어
친구하고 단어 맞추기 놀이하는게 좋아,언어
선생님을 따라서 읽으면 잘 읽을 수 있는게 좋아,언어
글씨 쓰는게 좋아,언어
글씨를 잘 쓸 수 있는게 좋아,언어
친구에게 편지 쓰는게 좋아,언어
받아쓰기 100점 맞는게 좋아,언어
쓰기 시험 어렵지만 열심히 공부하는게 좋아,언어
단어 쓰기 잘하고 하는게 좋아,언어
단어 퍼즐 맞추기 놀이하는게 좋아,언어
동화책 읽어주는게 좋아,언어
얘기 많이 하는게 좋아,언어
